2026-04-11 18:25:10,679 - brain.memory_controller - DEBUG - Idle memory maintenance metrics: {'insight_candidates_created': 0, 'insights_promoted': 0, 'episodic_decayed': 13, 'episodic_deleted': 0, 'research_jobs_processed': 0, 'research_jobs_completed': 0, 'research_jobs_failed': 0}
2026-04-11 18:25:11,181 - brain.memory_controller - DEBUG - Idle memory maintenance metrics: {'insight_candidates_created': 0, 'insights_promoted': 0, 'episodic_decayed': 13, 'episodic_deleted': 0, 'research_jobs_processed': 0, 'research_jobs_completed': 0, 'research_jobs_failed': 0}
2026-04-11 18:25:11,682 - brain.memory_controller - DEBUG - Idle memory maintenance metrics: {'insight_candidates_created': 0, 'insights_promoted': 0, 'episodic_decayed': 13, 'episodic_deleted': 0, 'research_jobs_processed': 0, 'research_jobs_completed': 0, 'research_jobs_failed': 0}
2026-04-11 18:25:12,184 - brain.memory_controller - DEBUG - Idle memory maintenance metrics: {'insight_candidates_created': 0, 'insights_promoted': 0, 'episodic_decayed': 13, 'episodic_deleted': 0, 'research_jobs_processed': 0, 'research_jobs_completed': 0, 'research_jobs_failed': 0}
2026-04-11 18:25:12,686 - brain.memory_controller - DEBUG - Idle memory maintenance metrics: {'insight_candidates_created': 0, 'insights_promoted': 0, 'episodic_decayed': 13, 'episodic_deleted': 0, 'research_jobs_processed': 0, 'research_jobs_completed': 0, 'research_jobs_failed': 0}
2026-04-11 18:25:13,187 - brain.memory_controller - DEBUG - Idle memory maintenance metrics: {'insight_candidates_created': 0, 'insights_promoted': 0, 'episodic_decayed': 13, 'episodic_deleted': 0, 'research_jobs_processed': 0, 'research_jobs_completed': 0, 'research_jobs_failed': 0}
2026-04-11 18:25:13,689 - brain.memory_controller - DEBUG - Idle memory maintenance metrics: {'insight_candidates_created': 0, 'insights_promoted': 0, 'episodic_decayed': 13, 'episodic_deleted': 0, 'research_jobs_processed': 0, 'research_jobs_completed': 0, 'research_jobs_failed': 0}
2026-04-11 18:25:14,191 - brain.memory_controller - DEBUG - Idle memory maintenance metrics: {'insight_candidates_created': 0, 'insights_promoted': 0, 'episodic_decayed': 13, 'episodic_deleted': 0, 'research_jobs_processed': 0, 'research_jobs_completed': 0, 'research_jobs_failed': 0}
2026-04-11 18:25:14,692 - brain.memory_controller - DEBUG - Idle memory maintenance metrics: {'insight_candidates_created': 0, 'insights_promoted': 0, 'episodic_decayed': 13, 'episodic_deleted': 0, 'research_jobs_processed': 0, 'research_jobs_completed': 0, 'research_jobs_failed': 0}
2026-04-11 18:25:15,194 - brain.memory_controller - DEBUG - Idle memory maintenance metrics: {'insight_candidates_created': 0, 'insights_promoted': 0, 'episodic_decayed': 13, 'episodic_deleted': 0, 'research_jobs_processed': 0, 'research_jobs_completed': 0, 'research_jobs_failed': 0}
2026-04-11 18:25:15,697 - brain.memory_controller - DEBUG - Idle memory maintenance metrics: {'insight_candidates_created': 0, 'insights_promoted': 0, 'episodic_decayed': 13, 'episodic_deleted': 0, 'research_jobs_processed': 0, 'research_jobs_completed': 0, 'research_jobs_failed': 0}
